epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5037,0.99842,1.12821,1.03331,0.94155,0.98182,0.96663,0.69763,0.8937,6.95535,0.83239,0.000663492,0.000663492,0.000663492
2,96.4823,1.11057,1.08002,1.09318,0.84624,0.96364,0.92158,0.63376,0.86324,17.5624,0.80596,0.00131699,0.00131699,0.00131699
3,142.09,1.09125,0.96515,1.08288,0.935,1,0.98957,0.73398,0.75716,14.0574,0.78622,0.00195729,0.00195729,0.00195729
4,187.373,1.02902,0.86607,1.062,0.97136,1,0.99055,0.67335,0.748,3.64307,0.82418,0.0019406,0.0019406,0.0019406
5,233.076,1.00471,0.82065,1.04383,0.92106,0.97273,0.96917,0.66102,0.8248,11.4929,0.83857,0.0019208,0.0019208,0.0019208
6,278.643,0.97547,0.78167,1.03706,0.95632,0.99091,0.98388,0.75719,0.78862,3.81909,0.80894,0.001901,0.001901,0.001901
7,323.833,0.94625,0.73922,1.02428,0.8146,0.93636,0.88497,0.6618,0.729,4.54886,0.80707,0.0018812,0.0018812,0.0018812
8,369.037,0.94234,0.72761,1.02504,0.96417,1,0.97456,0.73723,0.71142,2.00289,0.78902,0.0018614,0.0018614,0.0018614
9,414.458,0.90642,0.71021,1.00898,0.97222,1,0.9789,0.75815,0.74752,0.64542,0.7944,0.0018416,0.0018416,0.0018416
10,459.554,0.90375,0.69552,1.01323,0.93536,1,0.98409,0.71439,0.79004,2.26058,0.84818,0.0018218,0.0018218,0.0018218
11,505.11,0.8844,0.68171,1.008,0.9749,0.99091,0.97806,0.73152,0.70594,4.39124,0.81593,0.001802,0.001802,0.001802
12,550.371,0.87043,0.65658,0.99053,0.93673,0.99091,0.97392,0.73386,0.72781,8.01305,0.81719,0.0017822,0.0017822,0.0017822
13,594.98,0.87143,0.65536,0.99448,0.96962,1,0.98537,0.7593,0.6751,1.11932,0.82269,0.0017624,0.0017624,0.0017624
14,639.721,0.86413,0.64437,0.98875,0.95925,1,0.98521,0.75473,0.6822,3.12677,0.82681,0.0017426,0.0017426,0.0017426
15,684.37,0.83649,0.62805,0.98663,0.95268,1,0.99018,0.72894,0.78745,2.87673,0.86872,0.0017228,0.0017228,0.0017228
16,729.049,0.8346,0.61349,0.98738,0.97711,1,0.9922,0.73781,0.73472,1.01808,0.83523,0.001703,0.001703,0.001703
17,773.908,0.82083,0.61719,0.98597,0.97148,1,0.97869,0.75481,0.70618,0.77689,0.82359,0.0016832,0.0016832,0.0016832
18,818.597,0.80917,0.59076,0.97401,0.94799,0.9942,0.97885,0.7584,0.73203,1.30847,0.84991,0.0016634,0.0016634,0.0016634
19,863.296,0.80731,0.57826,0.97585,0.97208,1,0.98956,0.77872,0.70354,1.27756,0.82039,0.0016436,0.0016436,0.0016436
20,907.918,0.79012,0.57143,0.97026,0.95989,1,0.96753,0.73662,0.71143,3.19336,0.83903,0.0016238,0.0016238,0.0016238
21,952.512,0.78675,0.56211,0.96666,0.96472,1,0.98858,0.76449,0.70342,2.61058,0.84914,0.001604,0.001604,0.001604
22,997.003,0.81155,0.57186,0.98039,0.96908,1,0.98636,0.77218,0.70066,1.11944,0.84957,0.0015842,0.0015842,0.0015842
23,1041.64,0.78188,0.56108,0.96941,0.96972,1,0.97788,0.75542,0.68574,1.84576,0.80814,0.0015644,0.0015644,0.0015644
24,1086.22,0.76451,0.54387,0.9608,0.95559,1,0.98892,0.77285,0.68614,5.09177,0.83948,0.0015446,0.0015446,0.0015446
25,1130.98,0.76243,0.54709,0.95493,0.9699,1,0.9756,0.74748,0.65522,1.70426,0.81668,0.0015248,0.0015248,0.0015248
26,1175.55,0.74998,0.53943,0.95415,0.97267,1,0.98051,0.75671,0.73577,0.48655,0.81718,0.001505,0.001505,0.001505
27,1220.24,0.75148,0.52622,0.95618,0.96734,1,0.97538,0.75134,0.68442,1.71203,0.85567,0.0014852,0.0014852,0.0014852
28,1264.92,0.75726,0.52711,0.95407,0.947,0.99091,0.98071,0.75871,0.67668,3.37215,0.85019,0.0014654,0.0014654,0.0014654
29,1309.86,0.74185,0.51429,0.95442,0.97131,1,0.98647,0.76004,0.68096,0.92013,0.83067,0.0014456,0.0014456,0.0014456
30,1355.69,0.73409,0.5026,0.95145,0.97186,1,0.99222,0.78531,0.68515,0.80321,0.82632,0.0014258,0.0014258,0.0014258
31,1401.06,0.7198,0.49295,0.94204,0.97336,0.99663,0.9743,0.76979,0.69401,0.4551,0.82527,0.001406,0.001406,0.001406
32,1446.58,0.72885,0.4995,0.94976,0.97191,1,0.97912,0.76932,0.70162,1.13299,0.83453,0.0013862,0.0013862,0.0013862
33,1491.91,0.72229,0.49209,0.94292,0.9554,1,0.98207,0.76667,0.68084,2.83836,0.8315,0.0013664,0.0013664,0.0013664
34,1537.42,0.73123,0.48805,0.9416,0.95689,1,0.98915,0.77745,0.68214,1.31086,0.83749,0.0013466,0.0013466,0.0013466
35,1582.91,0.70161,0.48954,0.94142,0.97097,1,0.9819,0.77097,0.67678,1.68944,0.83044,0.0013268,0.0013268,0.0013268
36,1628.39,0.70558,0.47737,0.94431,0.97203,1,0.97039,0.77053,0.68378,0.90087,0.82973,0.001307,0.001307,0.001307
37,1673.58,0.70347,0.48268,0.93655,0.97109,1,0.97796,0.75366,0.6997,0.61015,0.82967,0.0012872,0.0012872,0.0012872
38,1718.81,0.70448,0.47678,0.93639,0.97231,1,0.97237,0.76559,0.68478,0.63977,0.82401,0.0012674,0.0012674,0.0012674
39,1764.11,0.69166,0.46283,0.93777,0.97145,1,0.97723,0.76676,0.68633,2.32678,0.82557,0.0012476,0.0012476,0.0012476
40,1809.48,0.696,0.46452,0.93804,0.96355,1,0.97285,0.75859,0.70036,2.85337,0.85659,0.0012278,0.0012278,0.0012278
41,1854.7,0.69405,0.4708,0.93884,0.97254,1,0.96874,0.7602,0.68838,0.34535,0.83807,0.001208,0.001208,0.001208
42,1899.9,0.69882,0.46005,0.93612,0.97321,1,0.9923,0.79577,0.66928,0.67139,0.83005,0.0011882,0.0011882,0.0011882
43,1945.42,0.67857,0.44719,0.93129,0.97053,1,0.97832,0.75933,0.68573,0.84913,0.85471,0.0011684,0.0011684,0.0011684
44,1990.78,0.68375,0.45431,0.9347,0.97285,1,0.98035,0.78509,0.65788,0.43665,0.81076,0.0011486,0.0011486,0.0011486
45,2036.31,0.67756,0.45104,0.92856,0.97245,1,0.9939,0.79791,0.67061,0.46031,0.81289,0.0011288,0.0011288,0.0011288
46,2081.42,0.67428,0.43895,0.93162,0.97209,1,0.97969,0.77239,0.68758,1.03746,0.82711,0.001109,0.001109,0.001109
47,2126.69,0.66713,0.45129,0.93101,0.97275,1,0.97509,0.76824,0.67912,0.45414,0.81462,0.0010892,0.0010892,0.0010892
48,2171.97,0.67967,0.4456,0.92834,0.96737,1,0.97919,0.76868,0.67483,0.54879,0.82354,0.0010694,0.0010694,0.0010694
49,2217.12,0.67409,0.43328,0.92807,0.96357,1,0.96803,0.75873,0.67821,1.42442,0.81765,0.0010496,0.0010496,0.0010496
50,2262.23,0.66587,0.44235,0.93186,0.95873,1,0.97493,0.77221,0.68642,1.62679,0.85084,0.0010298,0.0010298,0.0010298
51,2307.87,0.65199,0.42949,0.92256,0.96295,1,0.97461,0.76308,0.68951,1.17584,0.83112,0.00101,0.00101,0.00101
52,2352.74,0.64983,0.43074,0.9244,0.97268,1,0.97004,0.75817,0.68381,0.60841,0.8346,0.0009902,0.0009902,0.0009902
53,2397.32,0.64642,0.41902,0.92244,0.97061,1,0.98908,0.7858,0.67425,0.51861,0.83138,0.0009704,0.0009704,0.0009704
54,2442.07,0.63904,0.41634,0.91854,0.97253,1,0.97429,0.76609,0.7002,0.53268,0.81813,0.0009506,0.0009506,0.0009506
55,2486.75,0.64224,0.41684,0.91864,0.96763,1,0.97341,0.78781,0.67953,1.44069,0.811,0.0009308,0.0009308,0.0009308
